,Attrition,Business Travel,CF_age band,Department,Education Field,Employee Number,Gender,Job Role,Marital Status,Over Time,Training Times Last Year,Age,Distance From Home,Education,Environment Satisfaction,Job Involvement,Job Level,Job Satisfaction,Monthly Income,Num Companies Worked,Percent Salary Hike,Performance Rating,Relationship Satisfaction,Stock Option Level,Total Working Years,Work Life Balance,Years At Company,Years In Current Role,Years Since Last Promotion,Years With Curr Manager
778,No,Travel_Rarely,45 - 54,R&D,Life Sciences,1080,Female,Research Scientist,Divorced,Yes,2,46,8,Master's Degree,4,2,2,1,4615,8,23,4,1,3,19,3,16,13,1,7
779,Yes,Travel_Rarely,45 - 54,R&D,Life Sciences,1081,Male,Research Scientist,Married,Yes,2,51,4,Master's Degree,1,3,1,3,2461,9,12,3,3,3,18,4,10,0,2,7
780,Yes,Non-Travel,25 - 34,R&D,Technical Degree,1082,Male,Healthcare Representative,Single,No,2,28,24,Associates Degree,2,2,3,1,8722,1,12,3,1,0,10,2,10,7,1,9
781,No,Travel_Rarely,25 - 34,R&D,Medical,1083,Male,Laboratory Technician,Married,No,2,26,1,Associates Degree,1,2,1,1,3955,1,16,3,1,2,6,3,5,3,1,3
782,No,Travel_Rarely,25 - 34,R&D,Other,1084,Male,Manufacturing Director,Married,No,1,30,20,Bachelor's Degree,3,3,2,1,9957,0,15,3,3,1,7,2,6,2,0,2
783,No,Travel_Rarely,35 - 44,R&D,Technical Degree,1085,Female,Research Scientist,Married,No,3,41,7,Associates Degree,2,4,1,3,3376,1,13,3,3,0,10,3,10,6,0,8
784,No,Travel_Rarely,35 - 44,R&D,Life Sciences,1088,Female,Healthcare Representative,Married,No,4,38,17,High School,3,2,3,3,8823,0,18,3,1,1,20,2,19,9,1,9
785,No,Travel_Rarely,35 - 44,R&D,Technical Degree,1092,Male,Healthcare Representative,Married,No,6,40,20,Master's Degree,1,3,3,4,10322,4,20,4,4,1,14,3,11,10,11,1
786,No,Non-Travel,25 - 34,R&D,Life Sciences,1094,Male,Laboratory Technician,Married,No,4,27,8,Doctoral Degree,1,1,1,3,4621,1,19,3,4,3,3,3,3,2,1,2
787,No,Travel_Frequently,Over 55,R&D,Life Sciences,1096,Male,Manufacturing Director,Married,No,4,55,2,High School,4,3,3,2,10976,3,18,3,2,1,23,3,3,2,1,2
788,No,Travel_Rarely,25 - 34,R&D,Other,1097,Female,Research Scientist,Single,No,4,28,10,Bachelor's Degree,3,3,2,3,3660,3,13,3,4,0,10,4,8,7,1,7
789,Yes,Travel_Rarely,35 - 44,HR,Medical,1098,Male,Human Resources,Married,No,1,44,1,Associates Degree,2,2,3,1,10482,9,14,3,4,1,24,3,20,6,3,6
790,No,Travel_Rarely,25 - 34,R&D,Life Sciences,1099,Male,Healthcare Representative,Divorced,No,2,33,5,Bachelor's Degree,4,2,3,4,7119,4,15,3,3,1,9,3,3,2,1,2
791,Yes,Travel_Rarely,35 - 44,Sales,Technical Degree,1100,Male,Sales Executive,Single,Yes,2,35,4,Bachelor's Degree,4,3,3,1,9582,0,22,4,1,0,9,3,8,7,4,7
792,Yes,Travel_Frequently,25 - 34,R&D,Medical,1101,Female,Research Scientist,Single,No,4,33,29,Master's Degree,1,2,2,3,4508,1,22,4,2,0,14,3,13,7,3,8
793,No,Travel_Rarely,25 - 34,R&D,Life Sciences,1102,Male,Laboratory Technician,Divorced,No,5,28,15,Associates Degree,1,3,1,3,2207,1,16,3,4,1,4,2,4,2,2,2
794,No,Travel_Frequently,25 - 34,R&D,Life Sciences,1103,Male,Healthcare Representative,Single,No,1,34,3,High School,1,3,2,4,7756,0,17,3,3,0,7,2,6,2,0,4
795,No,Travel_Rarely,35 - 44,Sales,Life Sciences,1105,Female,Sales Executive,Divorced,Yes,5,37,10,Master's Degree,4,2,2,4,6694,2,14,3,3,3,8,3,1,0,0,0
796,Yes,Travel_Rarely,25 - 34,R&D,Technical Degree,1106,Male,Laboratory Technician,Married,Yes,3,25,4,High School,4,3,1,4,3691,1,15,3,2,1,7,4,7,7,5,6
797,Yes,Travel_Rarely,25 - 34,R&D,Medical,1107,Male,Laboratory Technician,Divorced,No,0,26,21,Bachelor's Degree,1,3,1,3,2377,1,20,4,3,1,1,2,1,1,0,0
798,Yes,Travel_Rarely,25 - 34,R&D,Medical,1108,Male,Research Scientist,Single,Yes,0,33,25,Bachelor's Degree,1,2,1,2,2313,4,20,4,2,0,5,3,2,2,2,2
799,No,Travel_Rarely,35 - 44,R&D,Medical,1109,Male,Manager,Married,No,3,42,2,Associates Degree,4,3,4,1,17665,0,17,3,4,1,23,3,22,6,13,7
800,Yes,Travel_Frequently,25 - 34,R&D,Medical,1111,Male,Laboratory Technician,Divorced,No,2,28,1,Bachelor's Degree,1,2,1,2,2596,1,15,3,1,2,1,3,1,0,0,0
801,Yes,Travel_Frequently,45 - 54,Sales,Other,1113,Male,Sales Executive,Single,Yes,4,50,1,Master's Degree,4,3,2,3,4728,3,14,3,4,0,5,3,0,0,0,0
802,No,Travel_Frequently,25 - 34,Sales,Life Sciences,1114,Female,Sales Executive,Married,No,3,33,7,Bachelor's Degree,4,3,2,2,4302,0,17,3,3,1,4,3,3,2,0,2
803,No,Non-Travel,25 - 34,R&D,Life Sciences,1115,Male,Research Scientist,Married,No,2,34,3,Master's Degree,3,2,1,4,2979,3,17,3,4,3,6,3,0,0,0,0
804,No,Non-Travel,45 - 54,R&D,Medical,1116,Male,Manager,Single,No,3,48,1,Master's Degree,1,4,4,4,16885,2,22,4,3,0,27,2,5,4,2,1
805,No,Non-Travel,45 - 54,Sales,Life Sciences,1117,Female,Sales Executive,Married,No,2,45,9,Master's Degree,2,2,2,3,5593,1,13,3,4,1,15,3,15,10,4,12
806,No,Travel_Rarely,45 - 54,R&D,Life Sciences,1118,Male,Healthcare Representative,Single,No,4,52,7,Master's Degree,2,3,3,2,10445,7,19,3,4,0,18,3,8,6,4,0
807,No,Travel_Rarely,35 - 44,Sales,Marketing,1119,Male,Sales Executive,Divorced,Yes,2,38,10,Master's Degree,3,2,3,3,8740,0,14,3,2,2,9,3,8,7,2,7
808,No,Travel_Rarely,25 - 34,R&D,Life Sciences,1120,Female,Research Scientist,Divorced,No,1,29,28,Master's Degree,3,3,1,4,2514,4,22,4,1,1,11,3,7,5,1,7
809,No,Travel_Rarely,25 - 34,R&D,Medical,1121,Female,Manufacturing Director,Divorced,No,3,28,3,Bachelor's Degree,4,3,3,2,7655,0,17,3,2,3,10,2,9,7,1,7
810,No,Travel_Rarely,45 - 54,Sales,Marketing,1124,Male,Manager,Married,No,3,46,3,High School,1,3,4,3,17465,3,12,3,4,1,23,3,12,9,4,9
811,No,Travel_Rarely,35 - 44,Sales,Marketing,1125,Male,Sales Executive,Single,No,2,38,2,Associates Degree,4,3,3,2,7351,7,16,3,3,0,10,3,1,0,0,0
812,No,Travel_Frequently,35 - 44,R&D,Life Sciences,1126,Female,Manufacturing Director,Married,No,1,43,27,Bachelor's Degree,3,3,3,1,10820,8,11,3,3,1,18,3,8,7,0,1
813,Yes,Travel_Frequently,35 - 44,R&D,Life Sciences,1127,Male,Healthcare Representative,Divorced,No,4,39,2,Bachelor's Degree,1,3,4,4,12169,7,11,3,4,3,21,3,18,7,11,5
814,No,Travel_Rarely,35 - 44,R&D,Medical,1128,Male,Research Director,Single,No,2,40,14,Bachelor's Degree,3,2,5,3,19626,1,14,3,1,0,21,4,20,7,4,9
815,No,Travel_Rarely,Under 25,R&D,Technical Degree,1131,Female,Research Scientist,Single,Yes,6,21,1,High School,4,2,1,2,2070,1,11,3,3,0,2,4,2,2,2,2
816,No,Non-Travel,35 - 44,R&D,Life Sciences,1132,Male,Laboratory Technician,Single,No,2,39,9,Bachelor's Degree,3,3,2,2,6782,9,15,3,3,0,9,2,5,4,0,3
817,No,Non-Travel,35 - 44,R&D,Life Sciences,1133,Male,Manufacturing Director,Single,No,0,36,18,Master's Degree,1,3,2,4,7779,2,20,4,1,0,18,3,11,9,0,9
818,No,Travel_Frequently,25 - 34,Sales,Life Sciences,1135,Male,Sales Representative,Married,No,4,31,20,Bachelor's Degree,3,4,1,4,2791,0,12,3,1,1,3,3,2,2,2,2
819,No,Travel_Rarely,25 - 34,R&D,Life Sciences,1136,Male,Research Scientist,Married,No,2,28,2,High School,1,2,1,2,3201,0,17,3,1,0,6,1,5,3,0,4
820,No,Travel_Frequently,35 - 44,Sales,Marketing,1137,Male,Sales Executive,Divorced,No,3,35,11,Associates Degree,4,3,2,4,4968,1,11,3,4,1,5,3,5,2,0,2
821,No,Travel_Rarely,45 - 54,Sales,Technical Degree,1138,Male,Sales Executive,Married,No,3,49,8,Master's Degree,4,2,4,2,13120,6,17,3,2,1,22,3,9,8,2,3
822,No,Travel_Frequently,25 - 34,R&D,Life Sciences,1140,Male,Manufacturing Director,Single,No,3,34,2,Associates Degree,4,3,2,3,4033,2,11,3,4,0,5,2,3,2,0,2
823,No,Travel_Frequently,25 - 34,R&D,Life Sciences,1143,Female,Research Scientist,Divorced,No,2,29,10,Bachelor's Degree,4,3,1,2,3291,0,14,3,4,2,8,2,7,5,1,1
824,No,Travel_Rarely,35 - 44,R&D,Medical,1148,Male,Laboratory Technician,Single,No,3,42,29,Bachelor's Degree,2,1,2,4,4272,4,19,3,1,0,16,3,1,0,0,0
825,No,Travel_Rarely,25 - 34,R&D,Medical,1150,Male,Manufacturing Director,Married,Yes,2,29,8,High School,2,2,2,4,5056,1,15,3,3,1,10,2,10,7,1,2
826,No,Travel_Rarely,35 - 44,HR,Human Resources,1152,Male,Human Resources,Married,No,2,38,1,Bachelor's Degree,3,4,1,3,2844,1,13,3,4,1,7,4,7,6,5,0
827,No,Travel_Frequently,25 - 34,R&D,Life Sciences,1154,Male,Research Scientist,Divorced,Yes,2,28,6,Bachelor's Degree,3,2,1,3,2703,1,14,3,4,1,3,3,3,1,0,2
828,Yes,Non-Travel,Under 25,R&D,Medical,1156,Male,Laboratory Technician,Single,No,0,18,8,High School,3,3,1,3,1904,1,12,3,4,0,0,3,0,0,0,0
829,Yes,Travel_Rarely,25 - 34,Sales,Marketing,1157,Female,Sales Executive,Single,Yes,3,33,9,Master's Degree,1,3,2,1,8224,0,17,3,1,0,6,3,5,2,0,3
830,No,Travel_Rarely,35 - 44,R&D,Life Sciences,1158,Male,Laboratory Technician,Married,Yes,4,41,12,Master's Degree,2,3,1,4,4766,3,11,3,1,1,6,3,1,0,0,0
831,Yes,Travel_Frequently,25 - 34,R&D,Medical,1160,Male,Laboratory Technician,Married,No,5,31,15,Bachelor's Degree,3,3,1,3,2610,1,12,3,3,1,2,2,2,2,2,2
832,No,Travel_Rarely,35 - 44,R&D,Medical,1161,Female,Healthcare Representative,Divorced,No,2,37,25,Associates Degree,3,2,2,4,5731,7,13,3,3,2,9,3,6,2,1,3
833,No,Travel_Rarely,25 - 34,R&D,Life Sciences,1162,Male,Research Scientist,Married,No,0,27,6,Bachelor's Degree,4,2,1,3,2539,1,13,3,3,1,4,3,4,2,2,2
834,No,Travel_Rarely,25 - 34,Sales,Life Sciences,1163,Female,Sales Executive,Married,No,3,34,9,High School,2,3,2,3,5714,1,20,4,1,0,6,2,6,5,1,3
835,No,Travel_Rarely,35 - 44,HR,Technical Degree,1164,Male,Human Resources,Single,No,2,35,8,Master's Degree,3,3,1,3,4323,1,17,3,2,0,6,1,5,4,1,4
836,Yes,Travel_Rarely,25 - 34,Sales,Life Sciences,1165,Female,Sales Executive,Married,No,3,29,23,High School,4,2,3,1,7336,1,13,3,1,1,11,1,11,8,3,10
837,No,Travel_Frequently,35 - 44,R&D,Medical,1166,Female,Research Director,Single,No,3,40,9,Master's Degree,2,3,3,3,13499,9,17,3,3,0,20,2,18,7,2,13
838,Yes,Travel_Frequently,35 - 44,Sales,Life Sciences,1167,Male,Sales Executive,Single,Yes,2,42,12,Bachelor's Degree,3,3,4,1,13758,0,12,3,2,0,22,2,21,9,13,14
839,No,Travel_Rarely,35 - 44,Sales,Marketing,1171,Male,Sales Executive,Single,No,3,42,4,Master's Degree,2,3,2,1,5155,7,13,3,4,0,9,4,6,4,1,5
840,No,Travel_Rarely,35 - 44,R&D,Medical,1172,Male,Laboratory Technician,Married,No,2,35,1,Master's Degree,4,2,1,3,2258,6,12,3,2,1,10,3,8,0,1,7
841,No,Travel_Rarely,Under 25,R&D,Medical,1173,Male,Laboratory Technician,Single,No,2,24,24,Bachelor's Degree,4,3,1,2,3597,8,22,4,4,0,6,3,4,3,1,2
842,Yes,Travel_Rarely,25 - 34,R&D,Life Sciences,1175,Female,Laboratory Technician,Married,Yes,4,28,12,High School,3,3,1,4,2515,1,11,3,4,0,1,2,1,1,0,0
843,No,Travel_Rarely,25 - 34,R&D,Medical,1177,Male,Laboratory Technician,Married,No,2,26,3,Master's Degree,1,4,1,4,4420,1,22,4,2,1,8,3,8,7,0,7
844,No,Travel_Rarely,25 - 34,Sales,Marketing,1179,Male,Sales Executive,Married,No,3,30,10,Bachelor's Degree,3,2,2,3,6578,1,18,3,1,1,10,3,10,3,1,4
845,No,Travel_Frequently,35 - 44,R&D,Medical,1180,Female,Research Scientist,Married,Yes,3,40,26,Associates Degree,3,2,2,4,4422,3,13,3,4,1,16,1,1,1,0,0
846,No,Travel_Rarely,35 - 44,R&D,Life Sciences,1182,Male,Manufacturing Director,Divorced,No,2,35,2,Bachelor's Degree,3,2,3,2,10274,2,18,3,2,1,15,4,7,7,6,4
847,No,Travel_Frequently,25 - 34,R&D,Medical,1184,Male,Healthcare Representative,Single,No,3,34,1,Bachelor's Degree,4,2,2,1,5343,0,20,4,3,0,14,3,13,9,4,9
848,No,Travel_Frequently,35 - 44,R&D,Other,1185,Male,Laboratory Technician,Married,No,2,35,4,Master's Degree,4,2,1,4,2376,1,13,3,2,1,2,4,2,2,2,2
849,Yes,Travel_Rarely,35 - 44,Sales,Marketing,1188,Female,Sales Executive,Single,No,2,43,9,Bachelor's Degree,1,1,2,3,5346,8,13,3,2,0,7,2,4,3,1,3
850,No,Non-Travel,25 - 34,Sales,Life Sciences,1190,Female,Sales Representative,Divorced,No,3,32,2,High School,3,3,1,1,2827,1,12,3,3,3,1,3,1,0,0,0
851,No,Travel_Rarely,Over 55,R&D,Technical Degree,1191,Female,Manager,Divorced,No,2,56,4,Master's Degree,4,3,5,1,19943,4,13,3,4,1,28,3,5,2,4,2
852,No,Travel_Rarely,25 - 34,R&D,Medical,1192,Female,Laboratory Technician,Married,No,5,29,6,High School,2,3,1,4,3131,1,13,3,1,1,10,3,10,8,0,8
853,No,Travel_Rarely,Under 25,R&D,Life Sciences,1193,Male,Research Scientist,Single,No,4,19,9,Associates Degree,3,3,1,1,2552,1,25,4,3,0,1,3,1,1,0,0
854,No,Travel_Rarely,45 - 54,R&D,Medical,1195,Female,Research Scientist,Married,Yes,2,45,7,Bachelor's Degree,1,3,1,3,4477,4,19,3,3,1,7,2,3,2,0,2
855,No,Travel_Rarely,35 - 44,R&D,Life Sciences,1196,Female,Manufacturing Director,Married,No,2,37,1,Bachelor's Degree,4,2,2,4,6474,1,13,3,2,1,14,2,14,8,3,11
856,No,Travel_Rarely,Under 25,R&D,Life Sciences,1198,Male,Laboratory Technician,Single,No,2,20,3,Bachelor's Degree,1,2,1,3,3033,1,12,3,1,0,2,2,2,2,1,2
857,Yes,Travel_Rarely,35 - 44,R&D,Life Sciences,1200,Male,Research Scientist,Single,Yes,4,44,10,Master's Degree,3,3,1,3,2936,1,11,3,3,0,6,3,6,4,0,2
858,No,Travel_Rarely,45 - 54,R&D,Medical,1201,Female,Manager,Divorced,No,6,53,7,Associates Degree,4,3,5,3,18606,3,18,3,2,1,26,3,7,7,4,7
859,No,Travel_Rarely,25 - 34,R&D,Life Sciences,1202,Female,Research Scientist,Married,Yes,2,29,15,High School,2,1,1,4,2168,0,18,3,1,1,6,2,5,4,1,3
860,Yes,Travel_Frequently,Under 25,R&D,Life Sciences,1203,Male,Research Scientist,Married,Yes,5,22,3,Master's Degree,3,2,1,4,2853,0,11,3,2,1,1,3,0,0,0,0
861,No,Travel_Rarely,45 - 54,Sales,Marketing,1204,Female,Manager,Married,No,2,46,2,Bachelor's Degree,3,3,4,1,17048,8,23,4,1,0,28,3,26,15,15,9
862,No,Non-Travel,35 - 44,R&D,Life Sciences,1206,Male,Research Scientist,Single,No,3,44,17,Bachelor's Degree,4,1,1,3,2290,2,13,3,4,0,6,3,0,0,0,0
863,No,Travel_Rarely,25 - 34,HR,Human Resources,1207,Male,Human Resources,Married,No,2,33,2,Bachelor's Degree,2,3,1,3,3600,1,13,3,4,1,5,3,5,4,1,4
864,Yes,Non-Travel,35 - 44,R&D,Life Sciences,1210,Male,Research Scientist,Divorced,No,2,41,5,Associates Degree,1,2,1,1,2107,6,17,3,1,1,5,1,1,0,0,0
865,No,Travel_Rarely,25 - 34,Sales,Life Sciences,1211,Male,Sales Executive,Divorced,No,3,30,29,Master's Degree,3,3,2,1,4115,8,19,3,3,3,8,3,4,3,0,3
866,No,Travel_Frequently,35 - 44,Sales,Medical,1212,Male,Sales Executive,Married,No,2,40,2,Master's Degree,2,3,2,2,4327,5,12,3,4,3,5,3,0,0,0,0
867,No,Travel_Frequently,45 - 54,R&D,Medical,1215,Female,Manager,Married,No,3,50,2,Bachelor's Degree,4,3,4,1,17856,2,22,4,3,1,32,3,2,2,2,2
868,No,Travel_Rarely,25 - 34,R&D,Medical,1216,Male,Laboratory Technician,Married,No,2,28,19,Master's Degree,4,2,1,1,3196,1,12,3,3,3,6,3,6,5,3,3
869,No,Travel_Rarely,45 - 54,R&D,Life Sciences,1217,Male,Research Director,Married,No,2,46,15,Associates Degree,4,3,5,2,19081,5,11,3,1,1,25,3,4,2,0,3
870,No,Travel_Rarely,35 - 44,Sales,Life Sciences,1218,Male,Sales Executive,Married,Yes,2,35,17,Master's Degree,3,3,2,1,8966,3,15,3,4,3,15,3,7,7,1,7
871,Yes,Travel_Rarely,Under 25,R&D,Life Sciences,1219,Female,Laboratory Technician,Married,No,3,24,17,Associates Degree,4,3,1,2,2210,1,13,3,1,1,1,1,1,0,0,0
872,No,Travel_Frequently,25 - 34,Sales,Medical,1220,Female,Sales Executive,Married,No,3,33,25,Bachelor's Degree,2,3,2,3,4539,1,12,3,1,1,10,2,10,7,0,1
873,No,Travel_Rarely,35 - 44,R&D,Life Sciences,1221,Male,Laboratory Technician,Divorced,No,4,36,6,Master's Degree,3,1,1,3,2741,1,14,3,3,1,7,3,7,7,1,7
874,No,Travel_Rarely,25 - 34,R&D,Life Sciences,1224,Male,Laboratory Technician,Divorced,No,4,30,7,Master's Degree,3,3,2,3,3491,1,13,3,1,3,10,2,10,7,8,9
875,No,Travel_Rarely,35 - 44,R&D,Other,1225,Male,Research Scientist,Single,No,3,44,29,Master's Degree,4,3,2,4,4541,1,25,4,2,0,20,3,20,11,13,17
876,No,Travel_Rarely,Under 25,Sales,Marketing,1226,Male,Sales Representative,Single,No,2,20,21,Bachelor's Degree,3,4,1,4,2678,1,17,3,4,0,2,3,2,1,2,2
877,No,Travel_Rarely,45 - 54,R&D,Technical Degree,1228,Male,Manufacturing Director,Divorced,No,3,46,2,Master's Degree,4,3,2,4,7379,2,11,3,3,1,12,2,6,3,1,4
878,No,Non-Travel,35 - 44,HR,Medical,1231,Male,Human Resources,Married,No,3,42,2,Doctoral Degree,4,4,2,1,6272,7,16,3,1,1,10,4,4,3,0,3
879,No,Travel_Rarely,Over 55,Sales,Marketing,1233,Male,Sales Executive,Divorced,Yes,3,60,7,Master's Degree,2,4,2,4,5220,0,18,3,2,1,12,3,11,7,1,9
880,No,Travel_Frequently,25 - 34,R&D,Other,1234,Female,Laboratory Technician,Married,No,2,32,13,Bachelor's Degree,3,2,1,2,2743,1,20,4,3,1,2,3,2,2,2,2
881,No,Travel_Frequently,25 - 34,R&D,Life Sciences,1235,Female,Research Scientist,Single,Yes,2,32,2,Associates Degree,4,3,2,3,4998,4,14,3,4,0,10,3,8,7,0,7
882,No,Travel_Rarely,35 - 44,R&D,Technical Degree,1237,Female,Manufacturing Director,Divorced,Yes,2,36,1,Bachelor's Degree,3,1,3,1,10252,2,21,4,3,1,17,3,7,7,7,7
883,No,Travel_Rarely,25 - 34,R&D,Medical,1238,Male,Research Scientist,Married,No,5,33,9,Bachelor's Degree,1,3,1,4,2781,0,13,3,2,1,15,3,14,10,4,10
884,No,Travel_Rarely,35 - 44,Sales,Technical Degree,1239,Female,Sales Executive,Divorced,No,2,40,10,Bachelor's Degree,2,2,2,2,6852,7,12,3,2,1,7,4,5,1,1,3
885,No,Travel_Rarely,25 - 34,Sales,Life Sciences,1240,Male,Sales Executive,Single,No,4,25,10,Master's Degree,3,3,2,4,4950,0,14,3,2,0,5,3,4,3,1,1
886,No,Travel_Rarely,25 - 34,R&D,Medical,1241,Male,Research Scientist,Married,Yes,2,30,1,Bachelor's Degree,4,3,1,2,3579,0,21,4,1,1,12,3,11,9,5,7
887,No,Travel_Frequently,35 - 44,R&D,Medical,1242,Female,Research Director,Married,Yes,6,42,26,Doctoral Degree,1,3,3,1,13191,3,17,3,3,0,20,3,1,0,0,0
888,No,Non-Travel,35 - 44,Sales,Marketing,1243,Female,Sales Executive,Married,Yes,6,35,8,Associates Degree,3,2,3,4,10377,4,11,3,2,1,16,2,13,2,4,12
889,No,Travel_Rarely,25 - 34,R&D,Life Sciences,1244,Male,Research Scientist,Married,Yes,3,27,14,Bachelor's Degree,1,3,1,1,2235,1,14,3,4,2,9,2,9,7,6,8
890,No,Travel_Frequently,45 - 54,R&D,Life Sciences,1245,Female,Manufacturing Director,Divorced,No,2,54,1,Master's Degree,4,3,3,3,10502,7,17,3,1,1,33,1,5,4,1,4
891,No,Travel_Rarely,35 - 44,R&D,Life Sciences,1246,Female,Research Scientist,Married,No,5,44,2,High School,1,4,1,4,2011,1,13,3,4,1,10,3,10,5,7,7
892,Yes,Non-Travel,Under 25,R&D,Medical,1248,Female,Research Scientist,Single,Yes,2,19,10,Bachelor's Degree,1,2,1,2,1859,1,25,4,2,0,1,4,1,1,0,0
893,No,Travel_Rarely,25 - 34,R&D,Life Sciences,1249,Female,Research Scientist,Divorced,No,5,29,1,Bachelor's Degree,1,3,1,4,3760,1,15,3,1,3,3,3,3,2,1,2
894,No,Travel_Rarely,45 - 54,R&D,Life Sciences,1250,Male,Research Director,Married,No,2,54,3,Bachelor's Degree,4,3,4,4,17779,3,14,3,1,0,36,3,10,9,0,9
895,No,Travel_Rarely,25 - 34,R&D,Medical,1251,Male,Healthcare Representative,Married,Yes,2,31,11,Associates Degree,3,3,2,1,6833,1,12,3,4,0,6,2,6,5,0,1
896,No,Travel_Rarely,25 - 34,R&D,Medical,1252,Female,Healthcare Representative,Single,No,2,31,24,Bachelor's Degree,3,2,2,1,6812,1,19,3,2,0,10,3,10,9,1,8
897,No,Travel_Rarely,Over 55,Sales,Life Sciences,1254,Female,Sales Executive,Single,No,2,59,3,Bachelor's Degree,3,2,2,4,5171,5,17,3,4,0,13,3,6,1,0,5
898,No,Travel_Rarely,35 - 44,R&D,Life Sciences,1255,Male,Research Director,Married,No,2,43,3,Bachelor's Degree,3,1,5,4,19740,3,14,3,2,1,25,3,8,7,0,7
899,No,Travel_Rarely,45 - 54,R&D,Medical,1256,Male,Manager,Married,No,2,49,4,Associates Degree,1,2,5,3,18711,2,13,3,3,1,23,4,1,0,0,0
900,No,Travel_Frequently,35 - 44,R&D,Technical Degree,1257,Male,Research Scientist,Married,No,2,36,3,Bachelor's Degree,3,3,1,2,3692,1,12,3,3,0,12,2,11,10,0,7
901,No,Travel_Rarely,45 - 54,R&D,Technical Degree,1258,Male,Laboratory Technician,Single,No,4,48,2,Associates Degree,4,4,1,2,2559,5,11,3,3,0,7,2,1,0,0,0
902,No,Travel_Rarely,25 - 34,R&D,Life Sciences,1259,Male,Research Scientist,Divorced,No,2,27,4,Associates Degree,1,3,1,3,2517,1,11,3,2,3,5,3,5,3,0,3
903,No,Travel_Rarely,25 - 34,R&D,Life Sciences,1260,Male,Healthcare Representative,Divorced,Yes,2,29,7,Bachelor's Degree,3,3,2,4,6623,1,11,3,2,2,6,3,6,0,1,0
904,No,Travel_Rarely,45 - 54,R&D,Life Sciences,1263,Male,Research Director,Single,No,3,48,1,Bachelor's Degree,4,2,5,4,18265,6,12,3,3,0,25,4,1,0,0,0
905,No,Travel_Rarely,25 - 34,R&D,Life Sciences,1264,Female,Research Director,Divorced,No,2,29,1,Bachelor's Degree,4,2,4,4,16124,3,14,3,2,2,9,2,7,7,1,7
906,No,Travel_Rarely,25 - 34,R&D,Technical Degree,1265,Female,Research Scientist,Married,No,5,34,20,Bachelor's Degree,3,4,1,3,2585,0,17,3,4,0,2,2,1,0,0,0
907,No,Travel_Rarely,35 - 44,Sales,Marketing,1267,Male,Manager,Married,No,5,44,5,Bachelor's Degree,2,3,5,2,18213,7,11,3,3,1,26,3,22,9,3,10
908,No,Travel_Rarely,25 - 34,Sales,Marketing,1268,Male,Sales Executive,Divorced,Yes,3,33,10,Doctoral Degree,4,4,3,3,8380,0,14,3,4,2,10,3,9,8,0,8
909,No,Travel_Rarely,Under 25,R&D,Life Sciences,1269,Female,Research Scientist,Single,Yes,2,19,25,Bachelor's Degree,2,4,1,4,2994,1,12,3,4,0,1,3,1,0,0,1
910,No,Travel_Rarely,Under 25,R&D,Life Sciences,1270,Male,Research Scientist,Married,No,2,23,1,Associates Degree,4,3,1,3,1223,1,22,4,4,1,1,3,1,0,0,1
911,Yes,Travel_Frequently,25 - 34,Sales,Life Sciences,1273,Male,Sales Representative,Single,Yes,4,25,24,High School,3,1,1,4,1118,1,14,3,4,0,1,3,1,0,1,0
912,No,Travel_Rarely,25 - 34,R&D,Life Sciences,1275,Male,Research Scientist,Single,Yes,2,26,4,Associates Degree,3,3,1,4,2875,1,20,4,2,0,8,2,8,5,2,2
913,Yes,Travel_Rarely,45 - 54,Sales,Marketing,1277,Female,Manager,Single,Yes,2,45,2,Bachelor's Degree,1,1,5,2,18824,2,16,3,1,0,26,3,24,10,1,11
914,No,Non-Travel,Over 55,R&D,Medical,1278,Male,Healthcare Representative,Divorced,Yes,3,55,8,High School,4,2,4,2,13577,1,15,3,4,1,34,3,33,9,15,0
915,Yes,Travel_Frequently,Under 25,R&D,Life Sciences,1279,Female,Laboratory Technician,Single,No,2,21,10,Associates Degree,1,2,1,3,2625,1,20,4,3,0,2,1,2,2,2,2
916,No,Travel_Rarely,45 - 54,Sales,Marketing,1280,Female,Manager,Married,No,2,46,4,Associates Degree,4,2,5,2,18789,2,14,3,3,1,26,3,11,4,0,8
917,No,Travel_Rarely,25 - 34,Sales,Marketing,1281,Female,Sales Executive,Single,Yes,3,34,2,Bachelor's Degree,3,3,2,1,4538,0,12,3,4,0,4,3,3,2,0,2
918,No,Travel_Frequently,45 - 54,Sales,Life Sciences,1282,Male,Manager,Divorced,Yes,5,51,9,Bachelor's Degree,4,3,5,2,19847,4,24,4,1,1,31,2,29,10,11,10
919,No,Travel_Rarely,Over 55,R&D,Medical,1283,Male,Manufacturing Director,Single,No,6,59,18,Master's Degree,4,3,3,4,10512,6,12,3,4,0,25,2,9,7,5,4
920,No,Travel_Frequently,25 - 34,R&D,Medical,1285,Female,Laboratory Technician,Divorced,No,2,34,19,Bachelor's Degree,3,3,2,2,4444,4,13,3,3,2,15,4,11,8,5,10
921,No,Travel_Frequently,25 - 34,R&D,Medical,1286,Male,Laboratory Technician,Single,Yes,2,28,1,Master's Degree,4,3,1,3,2154,0,11,3,3,0,5,2,4,2,0,2
922,No,Travel_Rarely,35 - 44,R&D,Life Sciences,1288,Male,Manager,Divorced,No,4,44,4,Associates Degree,3,4,5,1,19190,1,14,3,4,2,26,2,25,9,14,13
